"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b[(Intercept) Date:03/13/2019]","891","1","-0.85","0.01","0.18","-1.2","-0.97","-0.85","-0.73","-0.5"
"b[(Intercept) Date:11/19/2018]","1205","1","0.08","0","0.17","-0.26","-0.04","0.08","0.19","0.41"
"b[(Intercept) Date:11/20/2018]","1344","1","0.09","0.01","0.21","-0.32","-0.06","0.08","0.23","0.48"
"b[(Intercept) Date:11/21/2018]","1688","1","0.09","0","0.2","-0.29","-0.05","0.08","0.23","0.49"
"b[(Intercept) Date:11/22/2018]","1306","1","0.52","0.01","0.18","0.16","0.4","0.52","0.65","0.88"
"b[(Intercept) Date:11/23/2018]","1247","1","0.22","0","0.17","-0.11","0.11","0.22","0.33","0.56"
"b[(Intercept) Date:11/24/2018]","511","1.01","0.38","0","0.11","0.16","0.31","0.38","0.46","0.6"
"b[(Intercept) Date:11/25/2018]","487","1.01","0.63","0.01","0.12","0.4","0.56","0.63","0.71","0.85"
"b[(Intercept) Date:11/26/2018]","380","1.01","0.28","0","0.09","0.11","0.22","0.28","0.34","0.46"
"b[(Intercept) Date:11/27/2018]","1110","1","0.09","0.01","0.17","-0.25","-0.03","0.09","0.2","0.42"
"b[(Intercept) Date:11/28/2018]","330","1.01","0","0.01","0.09","-0.18","-0.07","0","0.06","0.17"
"b[(Intercept) Date:11/29/2018]","359","1.01","-0.12","0","0.09","-0.3","-0.18","-0.12","-0.06","0.05"
"b[(Intercept) Date:11/30/2018]","464","1.01","-0.1","0","0.1","-0.3","-0.17","-0.1","-0.03","0.09"
"b[(Intercept) Date:12/01/2018]","474","1","-0.11","0","0.1","-0.31","-0.17","-0.11","-0.04","0.09"
"b[(Intercept) Date:12/02/2018]","301","1.01","-0.28","0.01","0.09","-0.46","-0.34","-0.28","-0.22","-0.1"
"b[(Intercept) Date:12/03/2018]","292","1.01","-0.26","0","0.08","-0.42","-0.31","-0.25","-0.2","-0.09"
