"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b[(Intercept) Date:12/04/2018]","284","1.01","-0.3","0","0.08","-0.46","-0.35","-0.29","-0.24","-0.14"
"b[(Intercept) Date:12/05/2018]","245","1.01","-0.5","0","0.08","-0.65","-0.55","-0.5","-0.45","-0.35"
"b[(Intercept) Date:12/06/2018]","244","1.01","-0.37","0.01","0.08","-0.53","-0.42","-0.37","-0.31","-0.22"
"b[(Intercept) Date:12/07/2018]","229","1.01","-0.23","0","0.07","-0.38","-0.28","-0.22","-0.18","-0.08"
"b[(Intercept) Date:12/08/2018]","265","1.01","-0.41","0","0.08","-0.57","-0.46","-0.4","-0.35","-0.25"
"b[(Intercept) Date:12/09/2018]","240","1.01","-0.23","0.01","0.08","-0.38","-0.29","-0.23","-0.18","-0.08"
"b[(Intercept) Date:12/10/2018]","259","1.01","-0.46","0","0.07","-0.61","-0.51","-0.46","-0.41","-0.32"
"b[(Intercept) Date:12/11/2018]","249","1.01","-0.6","0","0.07","-0.75","-0.65","-0.6","-0.55","-0.46"
"b[(Intercept) Date:12/12/2018]","225","1.02","-0.73","0","0.07","-0.87","-0.78","-0.73","-0.68","-0.59"
"b[(Intercept) Date:12/13/2018]","219","1.02","-0.24","0","0.07","-0.38","-0.28","-0.23","-0.19","-0.09"
"b[(Intercept) Date:12/14/2018]","213","1.02","-0.32","0.01","0.07","-0.47","-0.37","-0.32","-0.27","-0.18"
"b[(Intercept) Date:12/15/2018]","221","1.02","0.18","0","0.07","0.03","0.13","0.18","0.23","0.32"
"b[(Intercept) Date:12/16/2018]","230","1.02","-0.14","0","0.07","-0.28","-0.19","-0.14","-0.09","0"
"b[(Intercept) Date:12/17/2018]","219","1.02","-0.21","0","0.07","-0.35","-0.26","-0.21","-0.17","-0.08"
"b[(Intercept) Date:12/18/2018]","208","1.02","0.18","0.01","0.07","0.04","0.13","0.18","0.23","0.31"
"b[(Intercept) Date:12/19/2018]","243","1.01","0.48","0","0.07","0.33","0.43","0.48","0.53","0.62"
"b[(Intercept) Date:12/20/2018]","228","1.02","0.77","0","0.07","0.64","0.72","0.77","0.82","0.91"
"b[(Intercept) Date:12/21/2018]","240","1.01","0.9","0","0.07","0.76","0.85","0.9","0.95","1.04"
"b[(Intercept) Date:12/22/2018]","226","1.02","0.99","0","0.07","0.85","0.94","0.98","1.04","1.13"
"b[(Intercept) Date:12/23/2018]","228","1.01","0.8","0","0.07","0.66","0.75","0.8","0.84","0.93"
"b[(Intercept) Date:12/24/2018]","202","1.02","0.71","0","0.07","0.57","0.67","0.72","0.76","0.85"
"b[(Intercept) Date:12/25/2018]","240","1.02","0.79","0","0.07","0.65","0.74","0.79","0.83","0.93"
"b[(Intercept) Date:12/26/2018]","268","1.01","0.86","0","0.07","0.72","0.81","0.86","0.91","1.01"
"b[(Intercept) Date:12/27/2018]","248","1.01","0.88","0","0.07","0.74","0.83","0.88","0.93","1.02"
"b[(Intercept) Date:12/28/2018]","241","1.01","0.83","0","0.07","0.69","0.78","0.83","0.87","0.97"
"b[(Intercept) Date:12/29/2018]","219","1.01","0.81","0","0.07","0.68","0.77","0.81","0.86","0.95"
"b[(Intercept) Date:12/30/2018]","218","1.01","0.78","0","0.07","0.64","0.73","0.78","0.83","0.92"
"b[(Intercept) Date:12/31/2018]","213","1.01","0.68","0","0.07","0.54","0.63","0.68","0.73","0.81"
"b[(Intercept) tp:1]","1236","1","0","0","0.08","-0.16","-0.01","0","0.02","0.18"
"b[scale(n_day) tp:1]","231","1.01","-0.01","0.01","0.1","-0.23","-0.03","0","0.02","0.24"
"b[(Intercept) tp:2]","710","1.01","-0.01","0","0.09","-0.26","-0.02","0","0.01","0.13"
"b[scale(n_day) tp:2]","239","1.01","-0.08","0.01","0.14","-0.47","-0.11","-0.02","0","0.06"
"b[(Intercept) tp:3]","705","1","-0.01","0","0.06","-0.17","-0.02","0","0.01","0.09"
"b[scale(n_day) tp:3]","161","1.02","0","0.01","0.09","-0.19","-0.03","0","0.02","0.23"
"b[(Intercept) tp:4]","438","1.01","0.01","0","0.05","-0.1","-0.01","0","0.02","0.14"
"b[scale(n_day) tp:4]","137","1.02","0.05","0.01","0.11","-0.08","0","0.01","0.06","0.35"
"b[(Intercept) tp:5]","510","1.01","0","0","0.05","-0.11","-0.02","0","0.01","0.13"
"b[scale(n_day) tp:5]","184","1.02","0.05","0.01","0.1","-0.06","0","0.01","0.08","0.34"
"sigma","2456","1","0.36","0","0","0.36","0.36","0.36","0.37","0.37"
"Sigma[Date:(Intercept),(Intercept)]","189","1.02","0.22","0","0.03","0.17","0.2","0.22","0.24","0.29"
"Sigma[tp:(Intercept),(Intercept)]","632","1.01","0.01","0","0.02","0","0","0","0","0.06"
"Sigma[tp:scale(n_day),(Intercept)]","529","1.01","0","0","0.02","-0.01","0","0","0","0.03"
"Sigma[tp:scale(n_day),scale(n_day)]","111","1.03","0.02","0","0.04","0","0","0","0.02","0.14"
"mean_PPD","3872","1","2.27","0","0.01","2.26","2.27","2.27","2.27","2.28"
"log-posterior","348","1","-2724.94","0.68","12.62","-2750.26","-2733.48","-2724.76","-2716.11","-2701.35"
