"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"b[(Intercept) Date:01/30/2019]","253","1.01","0.37","0","0.07","0.23","0.32","0.37","0.41","0.5"
"b[(Intercept) Date:01/31/2019]","310","1.01","-0.26","0","0.08","-0.43","-0.32","-0.26","-0.21","-0.1"
"b[(Intercept) Date:02/01/2019]","263","1.01","-0.06","0","0.07","-0.2","-0.1","-0.06","-0.01","0.08"
"b[(Intercept) Date:02/02/2019]","260","1.01","-0.48","0","0.07","-0.62","-0.53","-0.48","-0.43","-0.34"
"b[(Intercept) Date:02/03/2019]","212","1.02","0.48","0","0.07","0.35","0.43","0.48","0.53","0.61"
"b[(Intercept) Date:02/04/2019]","223","1.02","0.04","0","0.07","-0.1","-0.01","0.04","0.08","0.17"
"b[(Intercept) Date:02/05/2019]","248","1.01","0.16","0","0.07","0.02","0.11","0.15","0.2","0.29"
"b[(Intercept) Date:02/06/2019]","275","1.01","-0.06","0","0.07","-0.2","-0.11","-0.06","-0.01","0.08"
"b[(Intercept) Date:02/07/2019]","212","1.02","-0.14","0","0.07","-0.27","-0.18","-0.14","-0.09","0"
"b[(Intercept) Date:02/08/2019]","258","1.02","-0.53","0","0.07","-0.67","-0.58","-0.53","-0.48","-0.38"
"b[(Intercept) Date:02/09/2019]","238","1.02","-0.4","0","0.07","-0.54","-0.45","-0.4","-0.35","-0.26"
"b[(Intercept) Date:02/10/2019]","251","1.01","0.04","0","0.07","-0.09","0","0.05","0.09","0.18"
"b[(Intercept) Date:02/11/2019]","238","1.01","0.08","0","0.07","-0.05","0.03","0.08","0.13","0.23"
"b[(Intercept) Date:02/12/2019]","237","1.02","-0.55","0","0.07","-0.7","-0.6","-0.55","-0.5","-0.41"
"b[(Intercept) Date:02/13/2019]","238","1.01","-0.42","0","0.07","-0.56","-0.46","-0.42","-0.37","-0.28"
"b[(Intercept) Date:02/14/2019]","242","1.01","0.34","0","0.07","0.21","0.29","0.34","0.39","0.49"
"b[(Intercept) Date:02/15/2019]","271","1.01","0.45","0","0.07","0.31","0.4","0.45","0.5","0.6"
"b[(Intercept) Date:02/16/2019]","277","1.01","0.63","0","0.08","0.49","0.58","0.63","0.68","0.79"
"b[(Intercept) Date:02/17/2019]","247","1.01","0.55","0","0.07","0.41","0.5","0.55","0.6","0.7"
"b[(Intercept) Date:02/18/2019]","249","1.01","0","0","0.07","-0.13","-0.05","0.01","0.05","0.15"
"b[(Intercept) Date:02/19/2019]","249","1.01","-0.19","0","0.07","-0.33","-0.24","-0.19","-0.14","-0.05"
"b[(Intercept) Date:02/20/2019]","265","1.01","-0.29","0","0.07","-0.43","-0.34","-0.29","-0.24","-0.15"
"b[(Intercept) Date:02/21/2019]","265","1.01","-0.51","0.01","0.08","-0.67","-0.57","-0.51","-0.45","-0.34"
"b[(Intercept) Date:02/22/2019]","268","1.01","-0.24","0","0.08","-0.39","-0.29","-0.24","-0.18","-0.08"
"b[(Intercept) Date:02/23/2019]","264","1.01","-0.16","0","0.07","-0.31","-0.21","-0.16","-0.11","-0.02"
"b[(Intercept) Date:02/24/2019]","238","1.02","0.35","0","0.07","0.21","0.3","0.35","0.4","0.49"
"b[(Intercept) Date:02/25/2019]","274","1.01","0.04","0","0.08","-0.11","-0.01","0.04","0.09","0.19"
"b[(Intercept) Date:02/26/2019]","278","1.01","0.03","0","0.08","-0.13","-0.03","0.03","0.08","0.18"
"b[(Intercept) Date:02/27/2019]","315","1.01","-0.6","0","0.08","-0.76","-0.65","-0.6","-0.54","-0.44"
"b[(Intercept) Date:02/28/2019]","295","1.01","-0.45","0","0.08","-0.61","-0.5","-0.45","-0.39","-0.3"
"b[(Intercept) Date:03/01/2019]","272","1.01","0.27","0","0.08","0.12","0.22","0.27","0.33","0.42"
"b[(Intercept) Date:03/02/2019]","325","1.01","-0.58","0.01","0.09","-0.76","-0.64","-0.58","-0.51","-0.41"
"b[(Intercept) Date:03/03/2019]","278","1.01","0.08","0","0.08","-0.08","0.03","0.08","0.14","0.24"
"b[(Intercept) Date:03/04/2019]","309","1.01","-0.09","0","0.08","-0.26","-0.14","-0.09","-0.03","0.07"
"b[(Intercept) Date:03/05/2019]","301","1.01","-0.1","0","0.08","-0.27","-0.16","-0.1","-0.04","0.06"
"b[(Intercept) Date:03/06/2019]","412","1","-1.07","0","0.1","-1.26","-1.13","-1.07","-1.01","-0.88"
"b[(Intercept) Date:03/07/2019]","414","1.01","0.17","0","0.1","-0.02","0.1","0.17","0.24","0.37"
"b[(Intercept) Date:03/08/2019]","455","1","-0.17","0","0.1","-0.36","-0.23","-0.17","-0.1","0.02"
"b[(Intercept) Date:03/09/2019]","460","1","-0.42","0","0.1","-0.62","-0.49","-0.42","-0.35","-0.22"
"b[(Intercept) Date:03/10/2019]","537","1","0.06","0.01","0.12","-0.17","-0.02","0.06","0.14","0.29"
"b[(Intercept) Date:03/11/2019]","847","1","-0.68","0.01","0.16","-1","-0.8","-0.68","-0.57","-0.37"
"b[(Intercept) Date:03/12/2019]","920","1","-0.19","0.01","0.17","-0.52","-0.31","-0.19","-0.07","0.13"
